,last_word,conjugated,suffix
0,Ахуй,ахуйн,н
1,Ахуй,ахуйд,д
2,Ахуй,ахуйг,г
3,Ахуй,ахуйгаас,гаас
4,Ахуй,ахуйгаар,аар
5,Ахуй,ахуйтай,тай
6,Ахуйтан,ахуйтны,ы
7,Ахуйтан,ахуйтанд,д
8,Ахуйтан,ахуйтныг,ыг
9,Ахуйтан,ахуйтнаас,аас
10,Ахуйтан,ахуйтнаар,аар
11,Ахуйтан,ахуйтантай,тай
12,Зохиол,зохиолын,ын
13,Зохиол,зохиолд,д
14,Зохиол,зохиолыг,ыг
15,Зохиол,зохиолоос,оос
16,Зохиол,зохиолоор,оор
17,Зохиол,зохиолтой,той
18,Нэгж,нэгжийн,ийн
19,Нэгж,нэгжид,д
20,Нэгж,нэгжийг,ийг
21,Нэгж,нэгжээс,ээс
22,Нэгж,нэгжээр,ээр
23,Нэгж,нэгжтэй,тэй
24,Байгууллага,байгууллагын,ын
25,Байгууллага,байгууллагад,д
26,Байгууллага,байгууллагыг,ыг
27,Байгууллага,байгууллагаас,аас
28,Байгууллага,байгууллагаар,аар
29,Байгууллага,байгууллагатай,тай
30,Татвар,татварын,ын
31,Татвар,татварт,т
32,Татвар,татварыг,ыг
33,Татвар,татвараас,аас
34,Татвар,татвараар,аар
35,Татвар,татвартай,тай
36,Тэмцээн,тэмцээний,ий
37,Тэмцээн,тэмцээнд,д
38,Тэмцээн,тэмцээнийг,ийг
39,Тэмцээн,тэмцээнээс,ээс
40,Тэмцээн,тэмцээнээр,ээр
41,Тэмцээн,тэмцээнтэй,тэй
42,Боловсрол,боловсролын,ын
43,Боловсрол,боловсролд,д
44,Боловсрол,боловсролыг,ыг
45,Боловсрол,боловсролоос,оос
46,Боловсрол,боловсролоор,оор
47,Боловсрол,боловсролтой,той
48,Дарамт,дарамтын,ын
49,Дарамт,дарамтад,д
50,Дарамт,дарамтыг,ыг
51,Дарамт,дарамтаас,аас
52,Дарамт,дарамтаар,аар
53,Дарамт,дарамттай,тай
54,Анги,ангийн,ийн
55,Анги,ангит,т
56,Анги,ангыг,ыг
57,Анги,ангиас,аас
58,Анги,ангиар,аар
59,Анги,ангитай,тай
60,Ассоциаци,ассоциацийн,ийн
61,Ассоциаци,ассоциацит,т
62,Ассоциаци,ассоциацыг,ыг
63,Ассоциаци,ассоциациас,аас
64,Ассоциаци,ассоциациар,аар
65,Ассоциаци,ассоциацитай,тай
66,Си,сигийн,ийн
67,Си,сид,д
68,Си,сийг,ийг
69,Си,сигээс,ээс
70,Си,сигээр,ээр
71,Си,ситэй,тэй
72,Захиргаа,захиргааны,ны
73,Захиргаа,захиргаанд,нд
74,Захиргаа,захиргааг,г
75,Захиргаа,захиргаанаас,наас
76,Захиргаа,захиргаагаар,аар
77,Захиргаа,захиргаатай,тай
78,Газар,газрын,ын
79,Газар,газарт,т
80,Газар,газрыг,ыг
81,Газар,газраас,аас
82,Газар,газраар,аар
83,Газар,газартай,тай
84,Жүжигчин,жүжигчний,ий
85,Жүжигчин,жүжигчинд,д
86,Жүжигчин,жүжигчнийг,ийг
87,Жүжигчин,жүжигчнээс,ээс
88,Жүжигчин,жүжигчнээр,ээр
89,Жүжигчин,жүжигчинтэй,тэй
90,Яам,яамны,ны
91,Яам,яаманд,нд
92,Яам,яамыг,ыг
93,Яам,яамнаас,наас
94,Яам,яамаар,аар
95,Яам,яамтай,тай
96,Арчлалт,арчлалтын,ын
97,Арчлалт,арчлалтад,д
98,Арчлалт,арчлалтыг,ыг
99,Арчлалт,арчлалтаас,аас
100,Арчлалт,арчлалтаар,аар
101,Арчлалт,арчлалттай,тай
102,Холбоо,холбооны,ны
103,Холбоо,холбоонд,нд
104,Холбоо,холбоог,г
105,Холбоо,холбооноос,ноос
106,Холбоо,холбоогоор,оор
107,Холбоо,холбоотой,той
108,Хурал,хурлын,ын
109,Хурал,хуралд,д
110,Хурал,хурлыг,ыг
111,Хурал,хурлаас,аас
112,Хурал,хурлаар,аар
113,Хурал,хуралтай,тай
114,Алба,албаны,ны
115,Алба,албанд,нд
116,Алба,албыг,ыг
117,Алба,албанаас,наас
118,Алба,албаар,аар
119,Алба,албатай,тай
120,Төлбөр,төлбөрийн,ийн
121,Төлбөр,төлбөрт,т
122,Төлбөр,төлбөрийг,ийг
123,Төлбөр,төлбөрөөс,өөс
124,Төлбөр,төлбөрөөр,өөр
125,Төлбөр,төлбөртэй,тэй
126,Нам,намын,ын
127,Нам,намд,д
128,Нам,намыг,ыг
129,Нам,намаас,аас
130,Нам,намаар,аар
131,Нам,намтай,тай
132,Улс,улсын,ын
133,Улс,улсад,д
134,Улс,улсыг,ыг
135,Улс,улсаас,аас
136,Улс,улсаар,аар
137,Улс,улстай,тай
138,Эмнэлэг,эмнэлгийн,ийн
139,Эмнэлэг,эмнэлэгт,т
140,Эмнэлэг,эмнэлгийг,ийг
141,Эмнэлэг,эмнэлгээс,ээс
142,Эмнэлэг,эмнэлгээр,ээр
143,Эмнэлэг,эмнэлэгтэй,тэй
144,Сууц,сууцын,ын
145,Сууц,сууцад,д
146,Сууц,сууцыг,ыг
147,Сууц,сууцаас,аас
148,Сууц,сууцаар,аар
149,Сууц,сууцтай,тай
150,Ундаа,ундааны,ны
151,Ундаа,ундаанд,нд
152,Ундаа,ундааг,г
153,Ундаа,ундаанаас,наас
154,Ундаа,ундаагаар,аар
155,Ундаа,ундаатай,тай
156,АСА,асагийн,ийн
157,АСА,асад,д
158,АСА,асаг,г
159,АСА,асагаас,аас
160,АСА,асагаар,аар
161,АСА,асатай,тай
162,АСЕМ,асемын,ын
163,АСЕМ,асемд,д
164,АСЕМ,асемыг,ыг
165,АСЕМ,асемаас,аас
166,АСЕМ,асемаар,аар
167,АСЕМ,асемтай,тай
168,Уулзалт,уулзалтын,ын
169,Уулзалт,уулзалтад,т
170,Уулзалт,уулзалтыг,ыг
171,Уулзалт,уулзалтаас,аас
172,Уулзалт,уулзалтаар,аар
173,Уулзалт,уулзалттай,тай
174,Клуб,клубийн,ийн
175,Клуб,клубт,т
176,Клуб,клубийг,ийг
177,Клуб,клубээс,ээс
178,Клуб,клубээр,ээр
179,Клуб,клубтэй,тэй
180,Эм,эмийн,ийн
181,Эм,эмд,д
182,Эм,эмийг,ийг
183,Эм,эмээс,ээс
184,Эм,эмээр,ээр
185,Эм,эмтэй,тэй
186,Зөвлөл,зөвлөлийн,ийн
187,Зөвлөл,зөвлөлд,д
188,Зөвлөл,зөвлөлийг,ийг
189,Зөвлөл,зөвлөлөөс,өөс
190,Зөвлөл,зөвлөлөөр,өөр
191,Зөвлөл,зөвлөлтэй,тэй
192,Рот,ротын,ын
193,Рот,ротд,д
194,Рот,ротыг,ыг
195,Рот,ротоос,оос
196,Рот,ротоор,оор
197,Рот,роттой,той
198,Төв,төвийн,ийн
199,Төв,төвт,т
200,Төв,төвийг,ийг
201,Төв,төвөөс,өөс
202,Төв,төвөөр,өөр
203,Төв,төвтэй,тэй
204,Хэрэгсэл,хэрэгслийн,ийн
205,Хэрэгсэл,хэрэгсэлд,д
206,Хэрэгсэл,хэрэгслийг,ийг
207,Хэрэгсэл,хэрэгслээс,ээс
208,Хэрэгсэл,хэрэгслээр,ээр
209,Хэрэгсэл,хэрэгсэлтэй,тэй
210,Ухаан,ухааны,ы
211,Ухаан,ухаанд,д
212,Ухаан,ухааныг,ыг
213,Ухаан,ухаанаас,аас
214,Ухаан,ухаанаар,аар
215,Ухаан,ухаантай,тай
216,Сургууль,сургуулийн,ийн
217,Сургууль,сургуульд,д
218,Сургууль,сургуулийг,ийг
219,Сургууль,сургуулиас,аас
220,Сургууль,сургуулиар,аар
221,Сургууль,сургуультай,тай
222,Банк,банкны,ны
223,Банк,банканд,нд
224,Банк,банкийг,ийг
225,Банк,банкнаас,аас
226,Банк,банкаар,аар
227,Банк,банктай,тай
228,Тухай,тухайн,н
229,Тухай,тухайд,д
230,Тухай,тухайг,г
231,Тухай,тухайгаас,аас
232,Тухай,тухайгаар,аар
233,Тухай,тухайтай,тай
234,Тэргүүлэгчид,тэргүүлэгчдийн,ийн
235,Тэргүүлэгчид,тэргүүлэгчдэд,д
236,Тэргүүлэгчид,тэргүүлэгчдийг,ийг
237,Тэргүүлэгчид,тэргүүлэгчдээс,ээс
238,Тэргүүлэгчид,тэргүүлэгчдээр,ээр
239,Тэргүүлэгчид,тэргүүлэгчидтэй,тэй
240,Санаачилга,санаачилгын,ын
241,Санаачилга,санаачилгад,д
242,Санаачилга,санаачилгыг,ыг
243,Санаачилга,санаачилгаас,аас
244,Санаачилга,санаачилгаар,аар
245,Санаачилга,санаачилгатай,тай
246,Станц,станцын,ын
247,Станц,станцад,д
248,Станц,станцыг,ыг
249,Станц,станцаас,аас
250,Станц,станцаар,аар
251,Станц,станцтай,тай
252,Эвсэл,эвслийн,ийн
253,Эвсэл,эвсэлд,д
254,Эвсэл,эвслийг,ийг
255,Эвсэл,эвслээс,ээс
256,Эвсэл,эвслээр,ээр
257,Эвсэл,эвсэлтэй,тэй
258,Хөдөлгөөн,хөдөлгөөний,ий
259,Хөдөлгөөн,хөдөлгөөнд,д
260,Хөдөлгөөн,хөдөлгөөнийг,ийг
261,Хөдөлгөөн,хөдөлгөөнөөс,өөс
262,Хөдөлгөөн,хөдөлгөөнөөр,өөр
263,Хөдөлгөөн,хөдөлгөөнтэй,тэй
264,Индекс,индексийн,ийн
265,Индекс,индексэд,д
266,Индекс,индексийг,ийг
267,Индекс,индексээс,ээс
268,Индекс,индексээр,ээр
269,Индекс,индекстэй,тэй
270,Шат,шатны,ны
271,Шат,шатанд,д
272,Шат,шатыг,ыг
273,Шат,шатаас,аас
274,Шат,шатаар,аар
275,Шат,шаттай,тай
276,Арми,армийн,ийн
277,Арми,армид,д
278,Арми,армийг,ийг
279,Арми,армиас,аас
280,Арми,армиар,аар
281,Арми,армитай,тай
282,Хүрээлэн,хүрээлэнгийн,ийн
283,Хүрээлэн,хүрээлэнд,д
284,Хүрээлэн,хүрээлэнг,ийг
285,Хүрээлэн,хүрээлэнгээс,ээс
286,Хүрээлэн,хүрээлэнгээр,ээр
287,Хүрээлэн,хүрээлэнтэй,тэй
288,Баянгол,баянголын,ын
289,Баянгол,баянголд,д
290,Баянгол,баянголыг,ыг
291,Баянгол,баянголоос,оос
292,Баянгол,баянголоор,оор
293,Баянгол,баянголтой,той
294,Дүүрэг,дүүргийн,ийн
295,Дүүрэг,дүүрэгт,т
296,Дүүрэг,дүүргийг,ийг
297,Дүүрэг,дүүргээс,ээс
298,Дүүрэг,дүүргээр,ээр
299,Дүүрэг,дүүрэгтэй,тэй
300,Халдвар,халдварын,ын
